Name,RA (J2000),DEC (J2000),DM
J1901+0659g ,19:01:26 ,+06:59 ,126.2
J1924+1923g ,19:24:24 ,+19:23 ,386.7
J1904+0823g ,19:04:43 ,+08:23 ,60.4
J1936+2041g ,19:36:28 ,+20:41 ,193.8
J1838+0046g ,18:38:10 ,+00:46 ,229.6
J1924+1933g ,19:24:48 ,+19:33 ,280.3
J1925+1628g ,19:25:07 ,+16:28 ,214.1
J1905+0655g ,19:05:48 ,+06:55 ,23.0
J1904+0854g ,19:04:50 ,+08:54 ,195.1
J1857+0214g ,18:57:09 ,+02:14 ,986.3
J1947+2006g ,19:47:58 ,+20:06 ,127.4
J1917+1258g ,19:17:21 ,+12:58 ,117.0
J1930+1403g ,19:30:15 ,+14:03 ,150.5	
J1852+0056g ,18:52:14 ,+00:56 ,905.7
J1859+0430g ,18:59:10 ,+04:30 ,783.8
J1900+0405g ,19:00:39 ,+04:05 ,634.4
J1906+0822g ,19:06:36 ,+08:22 ,367.9	
J1850-0021g ,18:50:08 ,-00:21 ,605.4
J2052+4421g ,20:52:53 ,+44:21 ,547.0	
J1854+0013g ,18:54:17 ,+00:13 ,204.1
J1912+1106g ,19:12:23 ,+11:06 ,150.4
J1854-0033g ,18:54:29 ,-00:33 ,617.5
J1917+1412g ,19:17:29 ,+14:12 ,123.4
J1905+0450g ,19:05:59 ,+04:50 ,442.3	
J1927+1856g ,19:27:01 ,+18:56 ,424.2
J1855+0139g ,18:55:13 ,+01:39 ,405.6	
J1849-0013g ,18:49:26 ,-00:13 ,346.6
J1901+0712g ,19:01:29 ,+07:12 ,332.4	
J1859+0434g ,18:59:40 ,+04:34 ,320.1	
J1853+0013g ,18:53:53 ,+00:13 ,312.4	
J1908+0811g ,19:08:43 ,+08:11 ,300.2	
J1924+1343g ,19:24:20 ,+13:43 ,98.5
J1904+0358g ,19:04:23 ,+03:58 ,532.0
J1914+1029g ,19:14:22 ,+10:29 ,59.7
J1848+0129g ,18:48:22 ,+01:29 ,77.0
J1904+0535g ,19:04:51 ,+05:35 ,78.4
J1904+0519g ,19:04:07 ,+05:19 ,80.8
J1858-0024g ,18:58:46 ,-00:24 ,186.2
J1904+0554g ,19:04:15 ,+05:54 ,164.2
J1912+0932g ,19:12:43 ,+09:32 ,143.8
J1933+2038g ,19:33:39 ,+20:38 ,302.9	
J1852-0023g ,18:52:05 ,-00:23 ,290.0
J1905+0758g ,19:05:47 ,+07:58 ,200.7	
J2017+2819g ,20:17:20 ,+28:19 ,66.1
J2009+3122g ,20:09:40 ,+31:22 ,144.1
J1956+2826g ,19:56:48 ,+28:26 ,112.0	
J1924+1509g ,19:24:00 ,+15:09 ,115.6
J1903+0845g ,19:03:40 ,+08:45 ,129.1	
J1910+1054g ,19:10:01 ,+10:54 ,139.4
J1930+1357g ,19:30:11 ,+13:57 ,186.6
J1837+0032g ,18:37:37 ,+00:32 ,186.9	
J1847+0133g ,18:47:00 ,+01:33 ,193.8	
J1926+1631g ,19:26:24 ,+16:31 ,195.1
J1952+2702g ,19:52:18 ,+27:02 ,213.1	
J1911+0751g ,19:11:40 ,+07:51 ,220.7	
J1915+0832g ,19:15:05 ,+08:32 ,46.5
J1910+1117g ,19:10:27 ,+11:17 ,296.5	
J1926+1452g ,19:26:54 ,+14:52 ,298.1	
J1924+1509g ,19:24:32 ,+15:09 ,296.6	
J1917+1122g ,19:17:26 ,+11:22 ,303.5	
J1855+0513g ,18:55:05 ,+05:13 ,307.5
J1929+1615g ,19:29:36 ,+16:15 ,308.7
J1900+0213g ,19:00:12 ,+02:13 ,310.5
J1952+2836g ,19:52:48 ,+28:36 ,313.0	
J1936+1952g ,19:36:00 ,+19:52 ,325.0
J1859+0026g ,18:59:58 ,+00:26 ,334.1
J1856+0615g ,18:56:39 ,+06:15 ,333.1	
J1853+0312g ,18:53:14 ,+03:12 ,345.0	
J1855+0455g ,18:55:15 ,+04:55 ,372.9
J1858+0609g ,18:58:09 ,+06:09 ,381.5	
J1913+0804g ,19:13:53 ,+08:04 ,339.2
J1857+0224g ,18:57:08 ,+02:24 ,401.0
J1903+0534g ,19:03:29 ,+05:34 ,407.7
J1928+1809g ,19:28:06 ,+18:09 ,431.1
J1856+0011g ,18:56:47 ,+00:11 ,455.8	
J2022+3845g ,20:22:11 ,+38:45 ,487.5	
J2005+3411g ,20:05:43 ,+34:11 ,489.0	
J1921+1505g ,19:21:24 ,+15:05 ,519.9	
J1904+0416g ,19:04:04 ,+04:16 ,521.0	
J1859+0127g ,18:59:11 ,+01:27 ,531.7
